mse1,mse2,mse3,mse4
,,0.148819944524,0.148819944524
,,0.17278556996,0.17278556996
,,0.171043328317,0.171043328317
,,0.164975456217,0.164975456217
,,0.152258652592,0.152258652592
,,0.136080234626,0.136080234626
,,0.123777430861,0.123777430861
,,0.117433698612,0.117433698612
,,0.116415982828,0.116415982828
,,0.118442192122,0.118442192122
,,0.120485385351,0.120485385351
,,0.12131490111,0.12131490111
,,0.120998274974,0.120998274974
,,0.119622340036,0.119622340036
,,0.117090787715,0.117090787715
,,0.113234766872,0.113234766872
,,0.107739346423,0.107739346423
,,0.100048866843,0.100048866843
,,0.0899513411911,0.0899513411911
,,0.0783789949155,0.0783789949155
,,0.0667661377457,0.0667661377457
,,0.0561117244109,0.0561117244109
,,0.0468520136662,0.0468520136662
,,0.0390947355931,0.0390947355931
,,0.0328068331969,0.0328068331969
,,0.0277663407048,0.0277663407048
,,0.0237319373973,0.0237319373973
,,0.0205289659927,0.0205289659927
,,0.0180103986997,0.0180103986997
,,0.0160477109898,0.0160477109898
,,0.0145263474828,0.0145263474828
,,0.0133403547533,0.0133403547533
,,0.0123958779625,0.0123958779625
,,0.011618956123,0.011618956123
,,0.0109584399304,0.0109584399304
,,0.0103824151417,0.0103824151417
,,0.0098718326753,0.0098718326753
,,0.00941491170045,0.00941491170045
,,0.00900360904657,0.00900360904657
,,0.00863182149077,0.00863182149077
,,0.00829458129406,0.00829458129406
,,0.007987704804,0.007987704804
,,0.00770761946901,0.00770761946901
,,0.00745125686341,0.00745125686341
,,0.00721597210658,0.00721597210658
,,0.00699947700143,0.00699947700143
,,0.00679978302746,0.00679978302746
,,0.00661515306707,0.00661515306707
,,0.00644406156132,0.00644406156132
,,0.00628516286689,0.00628516286689
,,0.00613726727202,0.00613726727202
,,0.0059993236276,0.0059993236276
,,0.00587040705478,0.00587040705478
,,0.00574970988474,0.00574970988474
,,0.00563653399194,0.00563653399194
,,0.00553028301904,0.00553028301904
,,0.0054304535693,0.0054304535693
,,0.00533662508787,0.00533662508787
,,0.00524844868907,0.00524844868907
,,0.0051656354935,0.0051656354935
,,0.00508794509543,0.00508794509543
,,0.0050151746552,0.0050151746552
,,0.0049471489122,0.0049471489122
,,0.00488371124317,0.00488371124317
,,0.00482471580061,0.00482471580061
,,0.0047700207568,0.0047700207568
,,0.00471948270982,0.00471948270982
,,0.00467295233086,0.00467295233086
,,0.0046302713158,0.0046302713158
,,0.00459127064566,0.00459127064566
,,0.00455577007732,0.00455577007732
,,0.00452357870521,0.00452357870521
,,0.00449449637545,0.00449449637545
,,0.00446831570562,0.00446831570562
,,0.00444482446337,0.00444482446337
,,0.00442380807973,0.00442380807973
,,0.00440505210965,0.00440505210965
,,0.00438834449705,0.00438834449705
,,0.00437347754793,0.00437347754793
,,0.00436024955969,0.00436024955969
,,0.00434846609208,0.00434846609208
,,0.0043379408943,0.0043379408943
,,0.00432849652216,0.00432849652216
,,0.00431996469126,0.00431996469126
,,0.00431218641901,0.00431218641901
,,0.00430501201423,0.00430501201423
,,0.00429830098089,0.00429830098089
,,0.00429192191539,0.00429192191539
,,0.00428575249641,0.00428575249641
,,0.00427967969373,0.00427967969373
,,0.00427360035703,0.00427360035703
,,0.00426742238646,0.00426742238646
,,0.00426106672589,0.00426106672589
,,0.00425447044584,0.00425447044584
,,0.00424759116929,0.00424759116929
,,0.00424041299861,0.00424041299861
,,0.00423295386438,0.00423295386438
,,0.00422527377142,0.00422527377142
,,0.00421748272843,0.00421748272843
,,0.0042097462955,0.0042097462955
,,0.00420228595945,0.00420228595945
,,0.0041953715109,0.0041953715109
,,0.00418930391514,0.00418930391514
,,0.00418439011761,0.00418439011761
,,0.00418091502449,0.00418091502449
,,0.00417911853944,0.00417911853944
,,0.00417918485403,0.00417918485403
,,0.00418124680846,0.00418124680846
,,0.00418540243943,0.00418540243943
,,0.0041917373294,0.0041917373294
,,0.0042003467942,0.0042003467942
,,0.00421135506906,0.00421135506906
,,0.00422493191396,0.00422493191396
,,0.00424130879462,0.00424130879462
,,0.00426079677558,0.00426079677558
,,0.00428380655536,0.00428380655536
,,0.00431086640353,0.00431086640353
,,0.0043426218123,0.0043426218123
,,0.00437977301768,0.00437977301768
,,0.00442285833925,0.00442285833925
,,0.00447177297461,0.00447177297461
,,0.00452517065667,0.00452517065667
,,0.00458074794742,0.00458074794742
,,0.00463748172875,0.00463748172875
,,0.00469674848192,0.00469674848192
,,0.00475841486214,0.00475841486214
,,0.00481981368768,0.00481981368768
,,0.00487700589309,0.00487700589309
,,0.00492480978632,0.00492480978632
,,0.00496515768664,0.00496515768664
,,0.00500876404525,0.00500876404525
,,0.00506302887683,0.00506302887683
,,0.00513764472789,0.00513764472789
,,0.00542172841694,0.00542172841694
,,0.00663595543371,0.00663595543371
,,0.00451905013065,0.00451905013065
,,0.00421185402939,0.00421185402939
,,0.00573137610797,0.00573137610797
,,0.00443567735724,0.00443567735724
,,0.00491690292666,0.00491690292666
,,0.00908049011631,0.00908049011631
,,0.0047065952631,0.0047065952631
,,0.00451925253662,0.00451925253662
,,0.00561075076532,0.00561075076532
,,0.0113265984809,0.0113265984809
,,0.00399057039614,0.00399057039614
,,0.00433461338125,0.00433461338125
,,0.00504125544801,0.00504125544801
,,0.00542617363757,0.00542617363757
,,0.00522335516605,0.00522335516605
,,0.00804109694318,0.00804109694318
,,0.00495082332459,0.00495082332459
,,0.00532095259263,0.00532095259263
,,0.00940914471406,0.00940914471406
,,0.00407408173156,0.00407408173156
,,0.00507913751777,0.00507913751777
,,0.00567809696039,0.00567809696039
,,0.00671340555185,0.00671340555185
,,0.0042888429457,0.0042888429457
,,0.00523212897884,0.00523212897884
,,0.00638520710444,0.00638520710444
,,0.00549964979141,0.00549964979141
,,0.00639183231482,0.00639183231482
,,0.0092463882499,0.0092463882499
,,0.00446158637382,0.00446158637382
,,0.00775193551912,0.00775193551912
,,0.00623777965254,0.00623777965254
,,0.00648233259418,0.00648233259418
,,0.00586353661327,0.00586353661327
,,0.010072583213,0.010072583213
,,0.00993110824675,0.00993110824675
,,0.00619722787807,0.00619722787807
,,0.00520441191011,0.00520441191011
,,0.00557466072189,0.00557466072189
,,0.00653724940868,0.00653724940868
,,0.00992887389998,0.00992887389998
,,0.00528997947848,0.00528997947848
,,0.00632792910907,0.00632792910907
,,0.00973890680707,0.00973890680707
,,0.00920999858134,0.00920999858134
,,0.00973937482054,0.00973937482054
,,0.00877878101765,0.00877878101765
,,0.0056407652207,0.0056407652207
,,0.00614314431908,0.00614314431908
,,0.0115496203387,0.0115496203387
,,0.00519357196299,0.00519357196299
,,0.00428833897306,0.00428833897306
,,0.00589015094822,0.00589015094822
,,0.0101758163597,0.0101758163597
,,0.00593188551857,0.00593188551857
,,0.00775087898507,0.00775087898507
,,0.00634563320483,0.00634563320483
,,0.00520744261777,0.00520744261777
,,0.00774710393261,0.00774710393261
,,0.00925812335438,0.00925812335438
,,0.00944440234787,0.00944440234787
,,0.00664789685683,0.00664789685683
,,0.00944410070169,0.00944410070169
,,0.00546088331725,0.00546088331725
,,0.00516442192699,0.00516442192699
